admission_date,region,center,admissions
"1 Mar, 2026",AP & TS,Vizag Vidyapeeth,6
"1 Mar, 2026",East,Kolkata - Barrackpore Vidyapeeth,3
"1 Mar, 2026",PB + J&K,Anantnag Vidyapeeth,1
"1 Mar, 2026",MP+CG,Gwalior Vidyapeeth,3
"1 Mar, 2026",NCR +UK,Noida Vidyapeeth (Residential Program),2
"1 Mar, 2026",Delhi + HR,Rohtak Vidyapeeth,2
"1 Mar, 2026",South,Chennai - Ashok Nagar Vidyapeeth,2
"1 Mar, 2026",Bihar+JH,Bokaro Vidyapeeth,1
"1 Mar, 2026",South,Bengaluru - HSR layout Vidyapeeth,1
"1 Mar, 2026",East,Agartala Vidyapeeth,4
"1 Mar, 2026",South,Bengaluru - Yelahanka Vidyapeeth,4
"1 Mar, 2026",MP+CG,Raipur Vidyapeeth,1
"1 Mar, 2026",UP,Lucknow - Gomtinagar Vidyapeeth,2
"1 Mar, 2026",PB + J&K,Chandigarh Vidyapeeth,3
"1 Mar, 2026",UP,Bareilly Vidyapeeth,1
"1 Mar, 2026",Maharashtra,Pune - Viman Nagar Vidyapeeth,2
"1 Mar, 2026",NCR +UK,Noida Extension - Techzone 4 Tuition Center,1
"1 Mar, 2026",Maharashtra,Pune - FC Road Defence Wallah,1
"1 Mar, 2026",UP,Varanasi - BHU Vidyapeeth,8
"1 Mar, 2026",Bihar+JH,Patna - Boring Road Defence Wallah,3
"1 Mar, 2026",NCR +UK,Ghaziabad - Indirapuram Tuition Center,2
"2 Mar, 2026",South,Whitefield Global School (P-SIP),4
"2 Mar, 2026",UP,Lucknow - HazratGanj Vidyapeeth,4
"2 Mar, 2026",UP,Gorakhpur Vidyapeeth,3
"2 Mar, 2026",Bihar+JH,Patna - Iskcon Vidyapeeth,13
"2 Mar, 2026",Gujarat,Vadodara - Manjalpur Vidyapeeth,1
"2 Mar, 2026",Delhi + HR,Delhi - Punjabibagh Vidyapeeth,1
"2 Mar, 2026",PB + J&K,Rajouri - Kheora Tuition Center,2
"2 Mar, 2026",PB + J&K,Ludhiana Vidyapeeth,3
"2 Mar, 2026",Maharashtra,Pune - Viman Nagar Vidyapeeth,5
"2 Mar, 2026",UP,Kanpur - SomBizness Vidyapeeth,2
"2 Mar, 2026",Delhi + HR,Delhi - Jasola Vidyapeeth,4
"2 Mar, 2026",Bihar+JH,Bhagalpur Vidyapeeth,2
"2 Mar, 2026",Gujarat,Vapi - Chala Vapi Tuition Center,1
"2 Mar, 2026",Maharashtra,Nanded Vidyapeeth,4
"2 Mar, 2026",NCR +UK,Moradabad Vidyapeeth,1
"2 Mar, 2026",UP,Prayagraj - Naini Vidyapeeth,1
"2 Mar, 2026",Maharashtra,Pune - FC Road Defence Wallah,1
"2 Mar, 2026",MP+CG,Indore - MG Road Defence Wallah,2
"2 Mar, 2026",East,Kharagpur Vidyapeeth,4
"2 Mar, 2026",Delhi + HR,Delhi - Janakpuri Defence Wallah,1
"2 Mar, 2026",Bihar+JH,Patna Vidyapeeth (Residential Program),2
"2 Mar, 2026",Bothra,Bothra - Satellite Center,1
"2 Mar, 2026",Delhi + HR,Panipat Vidyapeeth,4
"2 Mar, 2026",South,Chennai - Medavakkam Vidyapeeth,1
"2 Mar, 2026",UP,Agra Vidyapeeth,2
"2 Mar, 2026",NCR +UK,Gurugram Vidyapeeth,3
"2 Mar, 2026",Maharashtra,Mumbai - Thane Vidyapeeth,1
"2 Mar, 2026",Maharashtra,Mumbai - Kalyan Vidyapeeth,3
"2 Mar, 2026",Delhi + HR,Delhi - Kalusarai Vidyapeeth,2
"2 Mar, 2026",NCR +UK,Noida - Sector 4 Tuition Center,1
"2 Mar, 2026",PB + J&K,Jammu - Pacific Tower Vidyapeeth,3
"2 Mar, 2026",NCR +UK,Noida - Block C Vidyapeeth,5
"2 Mar, 2026",UP,Gorakhpur - Medical Road Vidyapeeth,5
"2 Mar, 2026",PB + J&K,Panchkula Vidyapeeth,2
"2 Mar, 2026",South,Bengaluru - JP Nagar Vidyapeeth,6
"2 Mar, 2026",UP,Lucknow - Gomtinagar Vidyapeeth,5
"2 Mar, 2026",East,Itanagar - F Sector Vidyapeeth,1
"2 Mar, 2026",Maharashtra,Mumbai - Panvel Vidyapeeth,1
"2 Mar, 2026",Rajasthan,Jaipur - RS Circle Vidyapeeth,4
"2 Mar, 2026",NCR +UK,Faridabad Vidyapeeth,2
"2 Mar, 2026",NCR +UK,Haridwar - Ranipur Vidyapeeth,2
"2 Mar, 2026",Bihar+JH,Patna - Ashiana Digha Vidyapeeth,3
"2 Mar, 2026",Maharashtra,Nagpur - Wardhman Nagar Tuition Center,3
"2 Mar, 2026",East,Kolkata - Barrackpore Vidyapeeth,5
"2 Mar, 2026",PB + J&K,Jammu - Akhnoor Road Vidyapeeth,5
"2 Mar, 2026",Maharashtra,Nashik Vidyapeeth,4
"2 Mar, 2026",UP,Varanasi - Indira Tower Vidyapeeth,1
"2 Mar, 2026",Delhi + HR,Mayo International School (P-SIP),3
"2 Mar, 2026",East,Bardhaman Vidyapeeth,1
"2 Mar, 2026",Maharashtra,Mumbai - Andheri Vidyapeeth,1
"2 Mar, 2026",Bihar+JH,Muzaffarpur Vidyapeeth,2
"2 Mar, 2026",Gujarat,Ahmedabad - Satellite Vidyapeeth,2
"2 Mar, 2026",Gujarat,Ahmedabad - Gota Tuition Center,2
"2 Mar, 2026",NCR +UK,Noida Extension - Techzone 4 Tuition Center,1
"2 Mar, 2026",NCR +UK,Ghaziabad Vidyapeeth,5
"2 Mar, 2026",Maharashtra,Nagpur Vidyapeeth (Residential Program),1
"2 Mar, 2026",MP+CG,Gwalior Vidyapeeth,2
"2 Mar, 2026",Gujarat,Surat - Adajan Vidyapeeth,2
"2 Mar, 2026",South,Mysore Vidyapeeth,2
"2 Mar, 2026",Bihar+JH,Dhanbad Vidyapeeth,3
"2 Mar, 2026",East,Agartala Vidyapeeth,2
"2 Mar, 2026",East,Siliguri Vidyapeeth,6
"2 Mar, 2026",Bihar+JH,Motihari Vidyapeeth,1
"2 Mar, 2026",South,Bengaluru - RajajiNagar Vidyapeeth,3
"2 Mar, 2026",East,Malda Vidyapeeth,4
"2 Mar, 2026",NCR +UK,Dehradun - Ballupur Vidyapeeth,3
"2 Mar, 2026",Maharashtra,Mumbai - Ghatkopar Vidyapeeth,1
"2 Mar, 2026",MP+CG,Bhopal Vidyapeeth,3
"2 Mar, 2026",NCR +UK,Dehradun - Defence Wallah,2
"2 Mar, 2026",UP,Prayagraj - Civil Lines Vidyapeeth,13
"2 Mar, 2026",Gujarat,Ahmedabad - Maninagar Vidyapeeth,4
"2 Mar, 2026",Maharashtra,Latur Vidyapeeth,4
"2 Mar, 2026",East,Kalyani Tuition Center,4
"2 Mar, 2026",Rajasthan,Jaipur - Vaishali Nagar Vidyapeeth,2
"2 Mar, 2026",Rajasthan,Ajmer - Civil Lines Vidyapeeth,1
"2 Mar, 2026",South,Bengaluru - Whitefield Vidyapeeth,1
"2 Mar, 2026",Gujarat,Sarwa Mangal (P-SIP),1
"2 Mar, 2026",MP+CG,Indore - Vijay Nagar Vidyapeeth,2
"2 Mar, 2026",Gujarat,Vadodara - Alkapuri Vidyapeeth,1
"2 Mar, 2026",Maharashtra,Akola Vidyapeeth,2
"2 Mar, 2026",East,Kolkata - NewTown Vidyapeeth,12
"2 Mar, 2026",MP+CG,Jabalpur Vidyapeeth,3
"2 Mar, 2026",PB + J&K,Poonch Tuition Center,1
"2 Mar, 2026",UP,Varanasi - BHU Vidyapeeth,4
"2 Mar, 2026",Delhi + HR,Hisar Vidyapeeth,3
"2 Mar, 2026",AP & TS,Hyderabad - Chanda Nagar Vidyapeeth,3
"2 Mar, 2026",UP,Varanasi - Sigra Tuition Center,1
"2 Mar, 2026",UP,Lucknow - Alambagh Vidyapeeth,3
"2 Mar, 2026",MP+CG,Indore - Bhawarkuan Vidyapeeth,4
"2 Mar, 2026",Delhi + HR,Rohtak Vidyapeeth,1
"2 Mar, 2026",Bihar+JH,Patna - Boring Road Vidyapeeth,1
"2 Mar, 2026",East,Howrah Vidyapeeth,2
"2 Mar, 2026",Maharashtra,Mumbai - Nerul Vidyapeeth,2
"2 Mar, 2026",East,Kolkata - Behala Vidyapeeth,1
"2 Mar, 2026",UP,Varanasi - Bhojuveer Vidyapeeth,3
"2 Mar, 2026",East,Guwahati Vidyapeeth,10
"2 Mar, 2026",Gujarat,Surat - Vesu Vidyapeeth,1
"2 Mar, 2026",UP,Prayagraj - Jhusi Tuition Center,1
"2 Mar, 2026",AP & TS,Hyderabad - Habsiguda Vidyapeeth,5
"2 Mar, 2026",Delhi + HR,Delhi - Preet Vihar Vidyapeeth,6
"2 Mar, 2026",Rajasthan,Sikar Vidyapeeth,1
"2 Mar, 2026",South,Bengaluru - HSR layout Vidyapeeth,1
"2 Mar, 2026",AP & TS,Hyderabad - Kothapet Vidyapeeth,9
"2 Mar, 2026",East,Bhubaneswar Vidyapeeth,8
"2 Mar, 2026",Rajasthan,Sikar - Piprali Road Defence Wallah,4
"2 Mar, 2026",Gujarat,Gandhinagar Vidyapeeth,1
"2 Mar, 2026",Maharashtra,Mumbai - Virar Vidyapeeth,2
"2 Mar, 2026",Rajasthan,Kota Vidyapeeth,23
"2 Mar, 2026",South,Chennai - Annanagar Vidyapeeth,2
"2 Mar, 2026",Rajasthan,Alwar Vidyapeeth,1
"2 Mar, 2026",UP,Bareilly Vidyapeeth,2
"2 Mar, 2026",East,Kolkata - Gariahat Vidyapeeth,6
"2 Mar, 2026",Rajasthan,Sriganganagar - Meera Marg Vidyapeeth,1
"2 Mar, 2026",Maharashtra,Goa - Madgaon Vidyapeeth,3
"2 Mar, 2026",Maharashtra,Pune - Pimpri Vidyapeeth,4
"2 Mar, 2026",Delhi + HR,Delhi - Rohini Tuition Center,4
"2 Mar, 2026",NCR +UK,Greater Noida Vidyapeeth,1
"2 Mar, 2026",Gujarat,Vadodara - Sama Savli Vidyapeeth,2
"2 Mar, 2026",Rajasthan,Jodhpur - Sardarpura Vidyapeeth,1
"2 Mar, 2026",Maharashtra,Pune - Hadapsar Vidyapeeth,5
"2 Mar, 2026",South,Student Pu science college Hassan (P-SIP),3
"2 Mar, 2026",Maharashtra,Pune - FC Road Vidyapeeth,3
"2 Mar, 2026",Rajasthan,Jaipur - Pratap Nagar Vidyapeeth,1
"2 Mar, 2026",East,Alipurduar - Samuktala Road Vidyapeeth,7
"2 Mar, 2026",Rajasthan,Jodhpur - Paota Vidyapeeth,2
"2 Mar, 2026",UP,Lucknow - Alambagh Defence Wallah,6
"2 Mar, 2026",Bihar+JH,Bokaro Vidyapeeth,4
"2 Mar, 2026",South,Bengaluru - Yelahanka Vidyapeeth,3
"2 Mar, 2026",Delhi + HR,Delhi - Janakpuri Vidyapeeth,4
"2 Mar, 2026",Gujarat,Ahmedabad - Nikol Vidyapeeth,2
"2 Mar, 2026",Delhi + HR,Delhi - Dwarka Vidyapeeth,1
"2 Mar, 2026",UP,Lucknow - Vrindavan Vidyapeeth,2
"2 Mar, 2026",MP+CG,Indore - MG Road Vidyapeeth,1
"2 Mar, 2026",UP,Kanpur - JSTower Vidyapeeth,3
"2 Mar, 2026",MP+CG,Raipur Vidyapeeth,4
"2 Mar, 2026",East,Bhubaneswar - Chandrasekharpur Vidyapeeth,3
"2 Mar, 2026",MP+CG,Bhilai Vidyapeeth,1
"2 Mar, 2026",Bihar+JH,Patna - Boring Road Defence Wallah,2
"2 Mar, 2026",AP & TS,Vijayawada Vidyapeeth,7
"2 Mar, 2026",NCR +UK,Noida Vidyapeeth (Residential Program),2
"2 Mar, 2026",Bihar+JH,Jamshedpur Vidyapeeth,2
"2 Mar, 2026",East,Durgapur Vidyapeeth,5
"2 Mar, 2026",Bihar+JH,Patna - Exhibition Rd Vidyapeeth,6
"2 Mar, 2026",East,Kolkata - Baruipur Vidyapeeth,4
"2 Mar, 2026",PB + J&K,Chandigarh Vidyapeeth,1
"2 Mar, 2026",AP & TS,Hyderabad - AS RAO NAGAR Vidyapeeth,1
"2 Mar, 2026",AP & TS,Hyderabad - Nallagandla Vidyapeeth,1
"2 Mar, 2026",Bihar+JH,Patna - Kankarbagh Vidyapeeth,5
"2 Mar, 2026",South,Bengaluru - Banaswadi Vidyapeeth,4
"2 Mar, 2026",South,Chennai - Ashok Nagar Vidyapeeth,1
"2 Mar, 2026",Rajasthan,Udaipur Vidyapeeth,2
"2 Mar, 2026",Maharashtra,Nagpur Vidyapeeth,8
"2 Mar, 2026",Gujarat,Ahmedabad - Chandkheda Vidyapeeth,2
"2 Mar, 2026",AP & TS,Vizag Vidyapeeth,2
"2 Mar, 2026",Bihar+JH,Ranchi - Lalpur Vidyapeeth,6
"2 Mar, 2026",Bihar+JH,Ranchi - Harmu Vidyapeeth,6
"2 Mar, 2026",Maharashtra,Chhatrapati Sambhajinagar Vidyapeeth,4
"2 Mar, 2026",East,Imphal - Babupara Vidyapeeth,5
"2 Mar, 2026",Delhi + HR,Delhi - NSP Vidyapeeth,3
"3 Mar, 2026",Maharashtra,Nagpur Vidyapeeth (Residential Program),1
"3 Mar, 2026",Bihar+JH,Patna - Boring Road Defence Wallah,3
"3 Mar, 2026",Rajasthan,Sikar Vidyapeeth,1
"3 Mar, 2026",East,Kolkata - NewTown Vidyapeeth,7
"3 Mar, 2026",Gujarat,Ahmedabad - Nikol Vidyapeeth,3
"3 Mar, 2026",NCR +UK,Moradabad Vidyapeeth,2
"3 Mar, 2026",East,Kolkata - Gariahat Vidyapeeth,4
"3 Mar, 2026",UP,Gorakhpur - Medical Road Vidyapeeth,4
"3 Mar, 2026",PB + J&K,Jammu - Akhnoor Road Vidyapeeth,3
"3 Mar, 2026",Gujarat,Ahmedabad - Chandkheda Vidyapeeth,1
"3 Mar, 2026",South,Bengaluru - Banaswadi Vidyapeeth,3
"3 Mar, 2026",UP,Bareilly Vidyapeeth,2
"3 Mar, 2026",East,Bardhaman Vidyapeeth,2
"3 Mar, 2026",Delhi + HR,Delhi - Janakpuri Defence Wallah,1
"3 Mar, 2026",UP,Lucknow - Alambagh Vidyapeeth,2
"3 Mar, 2026",NCR +UK,Gurugram - Sector 47 Vidyapeeth,2
"3 Mar, 2026",South,Bengaluru - JP Nagar Vidyapeeth,1
"3 Mar, 2026",South,Chennai - Annanagar Vidyapeeth,1
"3 Mar, 2026",UP,Varanasi - Pahariya Aashapur Vidyapeeth,2
"3 Mar, 2026",Gujarat,Vapi - Chala Vapi Tuition Center,1
"3 Mar, 2026",Delhi + HR,Delhi - Rohini Tuition Center,1
"3 Mar, 2026",Maharashtra,Goa - Madgaon Vidyapeeth,1
"3 Mar, 2026",Delhi + HR,Delhi - Dwarka Vidyapeeth,4
"3 Mar, 2026",Gujarat,Ahmedabad - Gota Tuition Center,4
"3 Mar, 2026",Maharashtra,Nagpur Vidyapeeth,1
"3 Mar, 2026",Bihar+JH,Patna - Kankarbagh Vidyapeeth,3
"3 Mar, 2026",PB + J&K,Poonch Tuition Center,1
"3 Mar, 2026",Bihar+JH,Patna - Ashiana Digha Vidyapeeth,7
"3 Mar, 2026",Maharashtra,Mumbai - Thane Vidyapeeth,1
"3 Mar, 2026",Bihar+JH,Patna - Exhibition Rd Vidyapeeth,8
"3 Mar, 2026",Delhi + HR,Delhi - Preet Vihar Vidyapeeth,3
"3 Mar, 2026",East,Howrah Vidyapeeth,1
"3 Mar, 2026",MP+CG,Indore - Vijay Nagar Vidyapeeth,1
"3 Mar, 2026",MP+CG,Indore - MG Road Vidyapeeth,2
"3 Mar, 2026",NCR +UK,Faridabad Vidyapeeth,1
"3 Mar, 2026",South,Student Pu science college Hassan (P-SIP),1
"3 Mar, 2026",Bihar+JH,Patna Vidyapeeth (Residential Program),1
"3 Mar, 2026",UP,Prayagraj - Civil Lines Vidyapeeth,11
"3 Mar, 2026",Gujarat,Vadodara - Alkapuri Vidyapeeth,2
"3 Mar, 2026",NCR +UK,Gurugram Vidyapeeth,3
"3 Mar, 2026",Bihar+JH,Bhagalpur Vidyapeeth,1
"3 Mar, 2026",Gujarat,Surat - Katargram Vidyapeeth,1
"3 Mar, 2026",South,Bengaluru - HSR layout Vidyapeeth,2
"3 Mar, 2026",NCR +UK,Meerut Tuition Center,1
"3 Mar, 2026",UP,Varanasi - BHU Vidyapeeth,2
"3 Mar, 2026",Maharashtra,Pune - Viman Nagar Vidyapeeth,2
"3 Mar, 2026",Bihar+JH,Bokaro Vidyapeeth,3
"3 Mar, 2026",UP,Kanpur - SomBizness Vidyapeeth,1
"3 Mar, 2026",NCR +UK,Haridwar - Ranipur Vidyapeeth,3
"3 Mar, 2026",Maharashtra,Pune - Hadapsar Vidyapeeth,2
"3 Mar, 2026",Bothra,Bothra - Satellite Center,2
"3 Mar, 2026",UP,Lucknow - Alambagh Defence Wallah,7
"3 Mar, 2026",NCR +UK,Ghaziabad - Indirapuram Tuition Center,1
"3 Mar, 2026",MP+CG,Bhopal Vidyapeeth,4
"3 Mar, 2026",AP & TS,Vizag Vidyapeeth,1
"3 Mar, 2026",Gujarat,Bharuch Vidyapeeth,1
"3 Mar, 2026",MP+CG,Jabalpur Vidyapeeth,2
"3 Mar, 2026",Maharashtra,Pune - FC Road Vidyapeeth,1
"3 Mar, 2026",Bihar+JH,Ranchi - Harmu Vidyapeeth,4
"3 Mar, 2026",UP,Lucknow - Vrindavan Vidyapeeth,2
"3 Mar, 2026",Delhi + HR,Delhi - NSP Vidyapeeth,3
"3 Mar, 2026",Bihar+JH,Ranchi - Lalpur Vidyapeeth,5
"3 Mar, 2026",UP,Kanpur - JSTower Vidyapeeth,1
"3 Mar, 2026",East,Itanagar - F Sector Vidyapeeth,3
"3 Mar, 2026",South,Bengaluru - Yelahanka Vidyapeeth,1
"3 Mar, 2026",PB + J&K,Jalandhar Vidyapeeth,2
"3 Mar, 2026",PB + J&K,Rajouri - Kheora Tuition Center,2
"3 Mar, 2026",Gujarat,Surat - Adajan Vidyapeeth,3
"3 Mar, 2026",East,Kolkata - Barrackpore Vidyapeeth,6
"3 Mar, 2026",NCR +UK,Noida Extension - Techzone 4 Tuition Center,1
"3 Mar, 2026",Delhi + HR,Delhi - Jasola Vidyapeeth,2
"3 Mar, 2026",East,Imphal - Babupara Vidyapeeth,8
"3 Mar, 2026",PB + J&K,Jammu - Pacific Tower Vidyapeeth,5
"3 Mar, 2026",PB + J&K,Srinagar - Baghat Vidyapeeth,1
"3 Mar, 2026",MP+CG,Gwalior - DD Nagar Tuition Center,1
"3 Mar, 2026",PB + J&K,Srinagar - Rajbagh Vidyapeeth,1
"3 Mar, 2026",NCR +UK,Dehradun - Ballupur Vidyapeeth,1
"3 Mar, 2026",Gujarat,Ahmedabad - Satellite Vidyapeeth,3
"3 Mar, 2026",Bihar+JH,Patna - Iskcon Vidyapeeth,12
"3 Mar, 2026",Delhi + HR,Panipat Vidyapeeth,2
"3 Mar, 2026",UP,Agra Vidyapeeth,3
"3 Mar, 2026",Bihar+JH,Dhanbad Vidyapeeth,5
"3 Mar, 2026",East,Bhubaneswar - Chandrasekharpur Vidyapeeth,1
"3 Mar, 2026",NCR +UK,Noida Vidyapeeth (Residential Program),1
"3 Mar, 2026",East,Kolkata - Baruipur Vidyapeeth,1
"3 Mar, 2026",NCR +UK,Ghaziabad Vidyapeeth,3
"3 Mar, 2026",Rajasthan,Sriganganagar - Meera Marg Vidyapeeth,2
"3 Mar, 2026",NCR +UK,Noida - Block C Vidyapeeth,8
"3 Mar, 2026",Gujarat,Ahmedabad - Maninagar Vidyapeeth,4
"3 Mar, 2026",Rajasthan,Kota Vidyapeeth,18
"3 Mar, 2026",Maharashtra,Pune - FC Road Defence Wallah,1
"3 Mar, 2026",MP+CG,Indore - Bhawarkuan Vidyapeeth,2
"3 Mar, 2026",Delhi + HR,Hisar Vidyapeeth,1
"3 Mar, 2026",East,Alipurduar - Samuktala Road Vidyapeeth,2
"3 Mar, 2026",NCR +UK,Greater Noida Vidyapeeth,2
"3 Mar, 2026",Delhi + HR,AFFWA (P-SIP),2
"3 Mar, 2026",MP+CG,Gwalior Vidyapeeth,3
"3 Mar, 2026",NCR +UK,Dehradun - Defence Wallah,3
"3 Mar, 2026",South,Bengaluru - RR Nagar Vidyapeeth,1
"3 Mar, 2026",PB + J&K,Ambala Vidyapeeth,1
"3 Mar, 2026",East,Kolkata - Behala Vidyapeeth,1
"3 Mar, 2026",NCR +UK,Dehradun - Rajpur Rd Vidyapeeth,1
"3 Mar, 2026",MP+CG,Bilaspur Vidyapeeth,1
"3 Mar, 2026",UP,Lucknow - Gomtinagar Vidyapeeth,3
"3 Mar, 2026",East,Malda Vidyapeeth,2
"3 Mar, 2026",Delhi + HR,Mayo International School (P-SIP),2
"3 Mar, 2026",South,Whitefield Global School (P-SIP),2
"3 Mar, 2026",AP & TS,Hyderabad - Madhapur Vidyapeeth,3
"3 Mar, 2026",Gujarat,Surat - Vesu Vidyapeeth,1
"3 Mar, 2026",Rajasthan,Jodhpur - Sardarpura Vidyapeeth,2
"3 Mar, 2026",Maharashtra,Nashik Vidyapeeth,1
"3 Mar, 2026",AP & TS,Hyderabad - Nallagandla Vidyapeeth,1
"3 Mar, 2026",East,Guwahati Vidyapeeth,6
"3 Mar, 2026",Rajasthan,Jaipur - RS Circle Vidyapeeth,4
"3 Mar, 2026",Delhi + HR,Delhi - Janakpuri Vidyapeeth,5
"3 Mar, 2026",Delhi + HR,Rohtak Vidyapeeth,9
"3 Mar, 2026",East,Bhubaneswar Vidyapeeth,10
"3 Mar, 2026",Rajasthan,Jaipur - Pratap Nagar Vidyapeeth,1
"3 Mar, 2026",South,Bengaluru - RajajiNagar Vidyapeeth,2
"3 Mar, 2026",PB + J&K,Panchkula Vidyapeeth,1
"3 Mar, 2026",South,Bengaluru - Whitefield Vidyapeeth,1
"3 Mar, 2026",UP,Lucknow - HazratGanj Vidyapeeth,2
"3 Mar, 2026",AP & TS,Vijayawada Vidyapeeth,1
"3 Mar, 2026",Bihar+JH,Jamshedpur Vidyapeeth,1
"3 Mar, 2026",Bihar+JH,Patna - Boring Road Vidyapeeth,3
"3 Mar, 2026",PB + J&K,Chandigarh Vidyapeeth,1
"3 Mar, 2026",Bihar+JH,Muzaffarpur Vidyapeeth,2
"3 Mar, 2026",Delhi + HR,Delhi - Yamuna Vihar Vidyapeeth,3
"3 Mar, 2026",Gujarat,Gandhinagar Vidyapeeth,1
"3 Mar, 2026",Rajasthan,Sikar - Piprali Road Defence Wallah,3
"4 Mar, 2026",Maharashtra,Nanded Vidyapeeth,2
"4 Mar, 2026",Maharashtra,Mumbai - Andheri Vidyapeeth,2
"4 Mar, 2026",East,Siliguri Vidyapeeth,2
"4 Mar, 2026",AP & TS,Hyderabad - Madhapur Vidyapeeth,4
"4 Mar, 2026",Rajasthan,Jaipur - RS Circle Vidyapeeth,1
"4 Mar, 2026",Bihar+JH,Patna - Kankarbagh Vidyapeeth,2
"4 Mar, 2026",South,Bengaluru - RR Nagar Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Mumbai - Nerul Vidyapeeth,2
"4 Mar, 2026",Rajasthan,Kota Vidyapeeth,8
"4 Mar, 2026",South,Bengaluru - Yelahanka Vidyapeeth,2
"4 Mar, 2026",East,Kalyani Tuition Center,2
"4 Mar, 2026",AP & TS,Hyderabad - Shaikpet Vidyapeeth,4
"4 Mar, 2026",Maharashtra,DAV Public School Airoli (P-SIP),1
"4 Mar, 2026",Maharashtra,Goa - Panjim Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Latur Vidyapeeth,1
"4 Mar, 2026",Delhi + HR,Delhi - Kalusarai Vidyapeeth,1
"4 Mar, 2026",UP,Lucknow - Jankipuram Tuition Center,1
"4 Mar, 2026",Maharashtra,Chhatrapati Sambhajinagar Vidyapeeth,2
"4 Mar, 2026",Bihar+JH,Jamshedpur Vidyapeeth,1
"4 Mar, 2026",PB + J&K,Ludhiana Vidyapeeth,1
"4 Mar, 2026",Gujarat,Ahmedabad - Satellite Vidyapeeth,1
"4 Mar, 2026",UP,Prayagraj - Civil Lines Vidyapeeth,3
"4 Mar, 2026",Bihar+JH,Patna - Boring Road Vidyapeeth,1
"4 Mar, 2026",AP & TS,Hyderabad - Habsiguda Vidyapeeth,7
"4 Mar, 2026",Delhi + HR,Delhi - Janakpuri Vidyapeeth,4
"4 Mar, 2026",East,Guwahati Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Mumbai - Borivali Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Mumbai - Virar Vidyapeeth,1
"4 Mar, 2026",AP & TS,Hyderabad - Kothapet Vidyapeeth,5
"4 Mar, 2026",Maharashtra,Mumbai - Panvel Vidyapeeth,2
"4 Mar, 2026",East,Agartala Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Nagpur - Wardhman Nagar Tuition Center,1
"4 Mar, 2026",Maharashtra,Pune - Viman Nagar Vidyapeeth,2
"4 Mar, 2026",AP & TS,Hyderabad - Chanda Nagar Vidyapeeth,1
"4 Mar, 2026",UP,Lucknow - Gomtinagar Vidyapeeth,1
"4 Mar, 2026",East,Bhubaneswar Vidyapeeth,3
"4 Mar, 2026",Bihar+JH,Patna - Exhibition Rd Vidyapeeth,3
"4 Mar, 2026",East,Durgapur Vidyapeeth,5
"4 Mar, 2026",East,Bhubaneswar - Chandrasekharpur Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Pune - Pimpri Vidyapeeth,1
"4 Mar, 2026",East,Malda Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Mumbai - Chembur Vidyapeeth,2
"4 Mar, 2026",East,Bankura - Katjuridanga Tuition Center,1
"4 Mar, 2026",PB + J&K,Jammu - Pacific Tower Vidyapeeth,1
"4 Mar, 2026",East,Imphal - Babupara Vidyapeeth,2
"4 Mar, 2026",AP & TS,Hyderabad - Suchitra Vidyapeeth,1
"4 Mar, 2026",UP,Gorakhpur Vidyapeeth,1
"4 Mar, 2026",PB + J&K,Chandigarh Vidyapeeth,3
"4 Mar, 2026",South,Chennai - Adyar Gandhi Nagar Vidyapeeth,2
"4 Mar, 2026",South,Bengaluru - JP Nagar Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Mumbai - Thane Vidyapeeth,4
"4 Mar, 2026",East,Itanagar - F Sector Vidyapeeth,1
"4 Mar, 2026",East,Kolkata - NewTown Vidyapeeth,4
"4 Mar, 2026",Maharashtra,Pune - NalStop Vidyapeeth,1
"4 Mar, 2026",South,Bengaluru - Whitefield Vidyapeeth,3
"4 Mar, 2026",UP,Lucknow - Kapoorthala Vidyapeeth,2
"4 Mar, 2026",South,Chennai - Medavakkam Vidyapeeth,2
"4 Mar, 2026",Delhi + HR,Delhi - NSP Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Mumbai - Kharghar Vidyapeeth,1
"4 Mar, 2026",Maharashtra,Nagpur Vidyapeeth,2
"4 Mar, 2026",MP+CG,Jabalpur Vidyapeeth,1
"4 Mar, 2026",South,Student Pu science college Hassan (P-SIP),1
"4 Mar, 2026",Bihar+JH,Patna - Iskcon Vidyapeeth,3
"4 Mar, 2026",Bihar+JH,Ranchi - Lalpur Vidyapeeth,3
"4 Mar, 2026",South,Mysore Vidyapeeth,2
"4 Mar, 2026",PB + J&K,Srinagar - Baghat Vidyapeeth,1
"4 Mar, 2026",South,Bengaluru - HSR layout Vidyapeeth,1
"4 Mar, 2026",South,Chennai - Ashok Nagar Vidyapeeth,2
"4 Mar, 2026",East,Kolkata - Barrackpore Vidyapeeth,1
"4 Mar, 2026",East,Kolkata - Gariahat Vidyapeeth,6
"4 Mar, 2026",East,Kolkata - Baruipur Vidyapeeth,2
"4 Mar, 2026",PB + J&K,Anantnag Vidyapeeth,2
